ADDRESS_DESCRIPTION,CITY,CLEARANCE_DATE,CLEARANCE_DETAIL_STATUS,CLEARANCE_STATUS,CMPD_PATROL_DIVISION,DATE_INCIDENT_BEGAN,DATE_INCIDENT_END,DATE_REPORTED,DIVISION_ID,GlobalID,HIGHEST_NIBRS_CODE,HIGHEST_NIBRS_DESCRIPTION,INCIDENT_REPORT_ID,LATITUDE_PUBLIC,LOCATION,LOCATION_TYPE_DESCRIPTION,LONGITUDE_PUBLIC,NPA,OBJECTID,PLACE_DETAIL_DESCRIPTION,PLACE_TYPE_DESCRIPTION,STATE,X_COORD_PUBLIC,YEAR,Y_COORD_PUBLIC,ZIP,geometry_type,coordinates_lon,coordinates_lat,coordinates_json
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1493596800000,,1493596800000,16,{D6D83125-D550-4453-ACDF-9021F24935DD},90Z,All Other Offenses,20170501-1251-00,35.150583,4300 ARBORWAY,Outdoors,-80.806138,349,4772,Private Residence,Residential,NC,1460150,2017,514643,,Point,-80.80613794104096,35.15058300190411,
Location of occurrence,CHARLOTTE,,Open,Open,North,1492041600000,1492041600000,1492041600000,11,{882D34D8-D3A4-4BE8-9E42-E89009B33AB5},13B,Simple Assault,20170413-0209-00,35.339105,8600 HANKINS RD,Indoors,-80.832734,38,4773,Hotel/Motel,Commercial Place,NC,1453468,2017,583389,28269,Point,-80.83273417222021,35.339105424314425,
Location of occurrence,CHARLOTTE,,Open,Open,South,1605139200000,1605312000000,1605312000000,22,{BC86C13E-F6AC-4E37-A017-0470393BDC2D},220,Burglary/B&E,20201114-1450-00,35.081383,11000 HARROWFIELD RD,Indoors,-80.852621,41,4774,Apartment/Duplex Private Res,Residential,NC,1445788,2020,489719,28226,Point,-80.85262083563205,35.081383468582,
Location of occurrence,CHARLOTTE,1598832000000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Providence,1598486400000,1598486400000,1598486400000,16,{B3C8FEFE-F68C-469B-B913-165AC75657FD},800,Missing Person,20200827-1921-00,35.210784,1900 RANDOLPH RD,Outdoors,-80.82461,367,4775,Hospital/Medical Facility,Public/Non-Residential,NC,1455032,2020,536650,28207,Point,-80.82461017105663,35.210784111416494,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1754611200000,1754697600000,1754697600000,21,{FCD33537-4A84-4020-B9BE-26D27044AF7B},23F,Theft From Motor Vehicle,20250809-0756-00,35.117915,1900 SHARON RD W,Parking Lot,-80.873469,185,4776,Apartment/Duplex Private Res,Residential,NC,1439803,2025,503129,28210,Point,-80.87346867404891,35.1179152571191,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1648339200000,1648425600000,1649203200000,02,{16BC4C62-58D1-43FA-B1A5-34129C1024D2},23H,All Other Thefts,20220406-1307-03,35.252178,800 MORETZ AV,Parking Lot,-80.826335,363,4777,Vehicle Dealership,Retail,NC,1454794,2022,551722,28206,Point,-80.82633512911505,35.25217792262681,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1647561600000,,1650240000000,02,{E7BAD68A-7CD3-4FDA-B1D2-58EF5D8AD844},899,Other Unlisted Non-Criminal,20220418-1515-03,35.232682,2700 WET STONE WY,Indoors,-80.869942,51,4778,Private Residence,Residential,NC,1441644,2022,544870,28208,Point,-80.86994248766534,35.23268156728149,
Location of occurrence,CHARLOTTE,,Open,Open,Airport,1683936000000,1683936000000,1684368000000,28,{41C03DAC-0663-4205-9B90-D7D5D4E85C25},23H,All Other Thefts,20230518-1654-00,35.223126,5500 JOSH BIRMINGHAM PY,Outdoors,-80.946065,122,4779,Air/Bus/Train Terminal,Public/Non-Residential,NC,1418849,2023,541830,28208,Point,-80.94606454299678,35.223126442412884,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1766707200000,,1766707200000,16,{8CB1F768-8820-4B47-8F9A-D7495B5A8EA7},899,Other Unlisted Non-Criminal,20251226-2037-00,35.1512,4400 SHARON RD,Indoors,-80.828674,358,4780,Shopping Mall,Retail,NC,1453419,2025,514991,,Point,-80.82867375349484,35.15120046375475,
Location of occurrence,CHARLOTTE,1707955200000,Cleared by Other Means,Exceptionally Cleared,Eastway,1707609600000,,1707609600000,06,{699623CB-6F49-4CF7-888B-964AA8E6545C},899,Other Unlisted Non-Criminal,20240211-1713-00,35.21999,2100 CENTRAL AV,Outdoors,-80.806726,378,4781,Bar/Tavern/Nightclub,Commercial Place,NC,1460434,2024,539902,28205,Point,-80.80672586171296,35.21998951768925,
Location of occurrence,CHARLOTTE,,Open,Open,South,1571184000000,1571270400000,1571270400000,22,{38A4DBDB-9F50-4EFD-9484-B5FBCB84BD35},290,Damage/Vandalism Of Property,20191017-0650-00,35.056866,9200 OTTER CREEK DR,Parking Lot,-80.833204,253,4782,Apartment/Duplex Private Res,Residential,NC,1451431,2019,480690,28277,Point,-80.83320441132841,35.05686635109966,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1562112000000,1562112000000,1562112000000,17,{929065E8-8B09-499A-B7CE-CDE2C0AC727C},23B,Purse-Snatching,20190703-2155-05,35.162758,8100 WOODSCAPE DR,Outdoors,-80.748125,246,4783,Apartment/Duplex Private Res,Residential,NC,1477566,2019,518763,28212,Point,-80.74812541501024,35.16275833558339,
Location of occurrence,CHARLOTTE,1733529600000,Cleared by Other Means,Exceptionally Cleared,South,1733097600000,1733097600000,1733097600000,22,{718CF122-E8E2-44B7-A5AB-9784A9CF1CEF},13A,Aggravated Assault,20241202-1710-02,35.127569,1400 JULES CT,Indoors,-80.78417,198,4784,Private Residence,Residential,NC,1466565,2024,506150,,Point,-80.78416974652431,35.12756929950766,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1747180800000,1747180800000,1747180800000,27,{80749F72-FE6B-4C06-A3F3-CEF43AC00D97},220,Burglary/B&E,20250514-0325-00,35.263833,4000 BROOKSHIRE BV,Outdoors,-80.880529,141,4785,ABC/Liquor Store,Retail,NC,1438698,2025,556265,28216,Point,-80.88052916981702,35.26383266203519,
Location of occurrence,CHARLOTTE,1695859200000,Cleared by Other Means,Exceptionally Cleared,North Tryon,1695859200000,,1695859200000,07,{A1E46913-B636-488E-A40A-B7C0EA739CBF},899,Other Unlisted Non-Criminal,20230928-1328-00,35.27568,5100 REAGAN DR,Indoors,-80.805432,138,4786,Hotel/Motel,Commercial Place,NC,1461189,2023,560160,28213,Point,-80.80543187340349,35.27568013583263,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1683849600000,1684022400000,1684022400000,07,{BDEF8FFE-B045-4865-B925-B353B0808779},23F,Theft From Motor Vehicle,20230514-2200-00,35.277541,2100 PROSPECT DR,Parking Lot,-80.785239,291,4787,Apartment/Duplex Private Res,Residential,NC,1467227,2023,560728,28213,Point,-80.7852385324335,35.27754056909511,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1724371200000,,1724803200000,14,{9B26B9FE-7061-455D-BEDC-16B9FEDB09B3},23F,Theft From Motor Vehicle,20240828-1432-00,35.331489,1000 REIGATE RD,Outdoors,-80.70802,155,4788,Private Residence,Residential,NC,1490607,2024,579954,,Point,-80.70801997915481,35.331488603622006,
Location of occurrence,CHARLOTTE,1545004800000,Victim Chose not to Prosecute,Exceptionally Cleared,Steele Creek,1543795200000,1543795200000,1543795200000,21,{28CA662E-F7F2-4C29-B9FB-046B7823E3F9},13C,Intimidation,20181203-1532-05,35.154945,7000 NATIONS FORD RD,Outdoors,-80.897245,54,4789,School - Primary or Secondary,Public/Non-Residential,NC,1432952,2018,516738,28217,Point,-80.89724468188953,35.15494453211695,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1654560000000,1654560000000,1654560000000,06,{3C70D5EE-8674-4D49-9971-B8698A2B759B},23C,Shoplifting,20220607-1428-00,35.21443,4300 CENTRAL AV,Indoors,-80.772902,90,4790,Drug Store,Retail,NC,1470498,2022,537697,28205,Point,-80.77290214640995,35.214430423875605,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1452038400000,1483660800000,1483660800000,06,{25905B08-3361-40FC-BD8D-D5DA4B062DFD},90Z,All Other Offenses,20170106-0816-00,35.236787,3000 SHAMROCK DR,Outdoors,-80.775653,10,4791,Street/Highway,Open Area,NC,1469822,2017,545847,28215,Point,-80.77565313125669,35.236787158541695,
Location of occurrence,CHARLOTTE,1578355200000,Cleared by Other Means,Exceptionally Cleared,Independence,1577923200000,1577923200000,1577923200000,17,{72864BF1-4C81-439E-8E32-C14840CDF567},899,Other Unlisted Non-Criminal,20200102-1455-01,35.198016,4300 SWEETHONEY CR,Indoors,-80.720589,268,4792,Private Residence,Residential,NC,1486017,2020,531449,28227,Point,-80.72058875218649,35.19801586042569,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1677801600000,,1677801600000,21,{14687FF3-E6CA-43B0-9CD3-46E1BC29D9BD},90Z,All Other Offenses,20230303-0742-02,35.134979,700 W ARROWOOD RD,Outdoors,-80.901286,53,4793,Street/Highway,Open Area,NC,1431605,2023,509496,28217,Point,-80.9012863888514,35.13497851015988,
Location of occurrence,CHARLOTTE,1617062400000,Cleared by Arrest,Cleared by Arrest,Central,1615593600000,1615593600000,1615593600000,01,{90C946DA-B130-4138-B7C5-26B7DF36A342},35A,Drug/Narcotic Violations,20210313-2306-00,35.231011,100 E 9TH ST,Parking Lot,-80.837663,476,4794,Other - Public/Non-Residential,Public/Non-Residential,NC,1451270,2021,544082,28202,Point,-80.83766345314937,35.23101067232576,
Location where officer took report,CHARLOTTE,,Open,Open,University City,1697155200000,1697155200000,1705449600000,14,{8AE17E48-0031-456D-B0FB-6AE32F633307},250,Counterfeiting/Forgery,20240117-1025-00,35.297726,8600 UNIVERSITY CITY BV,Other,-80.739108,219,4795,Financial Institution,Commercial Place,NC,1481121,2024,567829,28213,Point,-80.73910838296032,35.297726128206456,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1608336000000,,1609200000000,21,{22365B10-E66F-45F1-A13F-92C07A10F5A9},210,Extortion/Blackmail,20201229-1239-01,35.100925,14600 VAUGHAN DR,Other,-80.962471,78,4796,Cyberspace,Open Area,NC,1413071,2020,497461,28723,Point,-80.962471142074,35.10092506342198,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1674000000000,1674086400000,1674086400000,21,{A0782DE5-951D-473F-AA53-94528B2B276F},23F,Theft From Motor Vehicle,20230119-0930-02,35.135265,800 W ARROWOOD RD,Parking Lot,-80.901912,53,4797,Hotel/Motel,Commercial Place,NC,1431420,2023,509604,28217,Point,-80.90191198451748,35.135265471423104,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1736467200000,,1736467200000,01,{4612BEBC-3116-4D2C-8619-228CE63EB1B0},290,Damage/Vandalism Of Property,20250110-0926-00,35.213628,1100 METROPOLITAN AV,Parking Deck,-80.835195,3,4798,Other - Commercial Place,Commercial Place,NC,1451890,2025,537743,28204,Point,-80.83519517322704,35.213627678216895,
Location of occurrence,CHARLOTTE,,Open,Open,Hickory Grove,1664755200000,,1665187200000,12,{92D87424-D78A-4D8F-9F22-756768C995D0},13C,Intimidation,20221008-1255-00,35.21159,9000 ALBEMARLE RD,Indoors,-80.691647,323,4799,Grocery Store/Supermarket,Retail,NC,1494746,2022,536240,28227,Point,-80.69164688509751,35.211590235597114,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1523750400000,1523836800000,1523836800000,27,{A2AA63EF-3848-42FF-BDC9-443E5278E78F},220,Burglary/B&E,20180416-0154-03,35.240643,1600 ASHLEY RD,Indoors,-80.897118,387,4800,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1433586,2018,547921,,Point,-80.89711757157968,35.24064311687957,
Location where officer took report,CHARLOTTE,,Open,Open,Metro,1663891200000,1664150400000,1664150400000,02,{3942203F-86E5-418F-8E21-699329A18578},26A,False Pretenses/Swindle,20220926-2202-00,35.245972,200 MILL RD,Outdoors,-80.861189,382,4801,Other - Open Area,Open Area,NC,1444348,2022,549657,28216,Point,-80.86118941858565,35.245971926783234,
Location of occurrence,CHARLOTTE,1556323200000,Unfounded,Unfounded,Central,1556323200000,1556323200000,1556323200000,01,{2E84AD7F-CAB6-4CEA-BBE2-B580F6A3AE25},899,Other Unlisted Non-Criminal,20190427-1503-01,35.220241,1000 MOREHEAD SQUARE DR,Outdoors,-80.850418,476,4802,Street/Highway,Open Area,NC,1447389,2019,540234,,Point,-80.85041750311899,35.2202413866852,
Location of occurrence,CHARLOTTE,,Open,Open,South,1591747200000,1591833600000,1591833600000,22,{4CABEF1C-CCDA-42A6-A996-D105E601A448},220,Burglary/B&E,20200611-1035-05,35.12877,6100 RHONE DR,Indoors,-80.786608,198,4803,Private Residence,Residential,NC,1465844,2020,506600,,Point,-80.78660782564334,35.128769939895754,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1486771200000,1486771200000,1486771200000,26,{C16B6956-E9EB-48FF-ABA9-5BC3D6F2A050},23H,All Other Thefts,20170211-1422-02,35.202646,3400 REID AV,Indoors,-80.897539,120,4804,Apartment/Duplex Private Res,Residential,NC,1433196,2017,534097,28208,Point,-80.89753856144766,35.20264576567644,
Location of occurrence,CHARLOTTE,1717113600000,Cleared by Arrest,Cleared by Arrest,Airport,1717113600000,1717113600000,1717113600000,28,{400245BC-34E2-42FD-B337-AC7631DA70C5},520,Weapon Law Violations,20240531-1657-02,35.223126,5500 JOSH BIRMINGHAM PY,Indoors,-80.946065,122,4805,Air/Bus/Train Terminal,Public/Non-Residential,NC,1418849,2024,541830,28208,Point,-80.94606454299678,35.223126442412884,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1753142400000,1753142400000,1753228800000,14,{3A577703-349C-4471-9526-B1EDD11BD2C7},23F,Theft From Motor Vehicle,20250723-0704-00,35.330413,900 TIGER LN,Outdoors,-80.734365,80,4806,Street/Highway,Open Area,NC,1482744,2025,579699,28262,Point,-80.7343647458457,35.33041349489272,
Location of occurrence,CHARLOTTE,1702944000000,Cleared by Arrest,Cleared by Arrest,South,1598832000000,1598832000000,1601510400000,22,{68F9A347-3368-4272-984A-3F8F3FA6F8FE},23C,Shoplifting,20201001-1206-01,35.064207,5400 BALLANTYNE COMMONS PY,Indoors,-80.774138,172,4807,Other - Retail,Retail,NC,1469152,2020,483040,28227,Point,-80.77413764079526,35.06420711133994,
Location of occurrence,CHARLOTTE,1598313600000,Cleared by Arrest,Cleared by Arrest,North Tryon,1598313600000,,1598313600000,07,{BB85DFF7-42E6-42F2-85B7-E1165A33829C},520,Weapon Law Violations,20200825-1607-00,35.247533,3600 CITISIDE DR,Indoors,-80.778376,40,4808,Apartment/Duplex Private Res,Residential,NC,1469079,2020,549772,,Point,-80.77837649826489,35.24753346276988,
Location of occurrence,CHARLOTTE,1486166400000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Hickory Grove,1486166400000,,1486166400000,12,{60343731-22CE-4FB1-8B4D-CBCDF7D8DC47},800,Missing Person,20170204-1838-03,35.213262,5600 FAULCONBRIDGE RD,Indoors,-80.702916,323,4809,Private Residence,Residential,NC,1491391,2017,536906,28227,Point,-80.70291585229135,35.2132623141092,
Location of occurrence,CHARLOTTE,1719273600000,Cleared by Other Means,Exceptionally Cleared,North Tryon,1718582400000,,1718582400000,07,{5BA9E681-04F8-4E59-9F83-6C164501B283},35A,Drug/Narcotic Violations,20240617-1650-02,35.242852,4500 BELLE PLAINE DR,Outdoors,-80.75099,312,4810,Street/Highway,Open Area,NC,1477224,2024,547923,28215,Point,-80.75099042271961,35.24285165394954,
Location of occurrence,CHARLOTTE,,Open,Open,Airport,1633046400000,1633824000000,1633824000000,28,{C107C206-E319-4781-B17F-52D2F49D7313},90Z,All Other Offenses,20211010-2243-02,35.23386,5200 JOSH BIRMINGHAM PY,Parking Lot,-80.943397,286,4811,Air/Bus/Train Terminal,Public/Non-Residential,NC,1419722,2021,545720,,Point,-80.94339690885197,35.23385981028258,
Location of occurrence,CHARLOTTE,1524009600000,Cleared by Other Means,Exceptionally Cleared,Independence,1523318400000,1523318400000,1523318400000,17,{F0D4FB96-CA24-4E78-8208-ED400F4609DA},801,Suicide,20180410-1607-06,35.160286,7500 CREEKRIDGE RD,Indoors,-80.742189,270,4812,Apartment/Duplex Private Res,Residential,NC,1479324,2018,517832,28212,Point,-80.74218948377874,35.160285540243976,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1532563200000,1532563200000,1532563200000,02,{4A4592EC-DFBA-444C-AB56-2DFECBB67C53},23F,Theft From Motor Vehicle,20180726-2015-02,35.239855,500 S BRUNS AV,Parking Lot,-80.863991,347,4813,School - Primary or Secondary,Public/Non-Residential,NC,1443470,2018,547447,,Point,-80.86399066016213,35.239855401254296,
Location of occurrence,CHARLOTTE,1670284800000,Cleared by Other Means,Exceptionally Cleared,Westover,1668643200000,,1668643200000,26,{AF4A2FE0-8E1D-415F-8F4A-F3EC227B5D31},803,Overdose,20221117-2233-00,35.167378,1500 MOCKINGBIRD LN,Indoors,-80.849693,393,4814,Apartment/Duplex Private Res,Residential,NC,1447247,2022,520994,28217,Point,-80.84969259099493,35.16737787643744,
Location of occurrence,CHARLOTTE,1698192000000,Cleared by Arrest by Another Agency,Cleared by Arrest by Another Agency,University City,1653004800000,1653004800000,1653523200000,14,{7250CEA2-706F-4683-889E-FBC5764E21B6},270,Embezzlement,20220526-1721-06,35.307684,8700 J M KEYNES DR,Indoors,-80.752355,66,4815,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1477233,2022,571522,28262,Point,-80.75235543195865,35.307683715814186,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1542067200000,1542067200000,1542067200000,01,{A250ABA3-863C-4FAA-921A-74EB441D267E},120,Robbery,20181113-1750-04,35.214234,2200 VISION DR,Outdoors,-80.865293,388,4816,Street/Highway,Open Area,NC,1442906,2018,538131,,Point,-80.86529300347355,35.21423352529507,
Location of occurrence,CHARLOTTE,,Open,Open,Hickory Grove,1611964800000,1612224000000,1612224000000,12,{7E5E0D1B-95DF-497D-9F1E-59B9EE2D055C},290,Damage/Vandalism Of Property,20210202-1543-01,35.242256,9700 WARDLEY DR,Indoors,-80.672474,360,4817,Private Residence,Residential,NC,1500660,2021,547302,,Point,-80.6724738455948,35.24225591446262,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1669334400000,,1669420800000,14,{373001FC-98C6-4D1B-ABC1-31D0F516386C},220,Burglary/B&E,20221126-1315-00,35.326606,4300 AUTUMN FROST TL,Outdoors,-80.687979,155,4818,Construction Site,Open Area,NC,1496553,2022,578075,,Point,-80.68797949070576,35.32660601376052,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1664064000000,1664064000000,1664064000000,01,{7E32E065-E979-404A-8291-EFDA63F807F0},90Z,All Other Offenses,20220925-0358-02,35.227153,400 S MINT ST,Parking Deck,-80.848954,476,4819,Other - Commercial Place,Commercial Place,NC,1447873,2022,542741,28202,Point,-80.84895354131318,35.22715337845318,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1701475200000,1701475200000,1701475200000,16,{D180950F-BE64-4B4C-B72A-B88EB6E52E90},240,Motor Vehicle Theft,20231202-2219-07,35.168061,400 WAKEFIELD DR,Outdoors,-80.844537,133,4820,Street/Highway,Open Area,NC,1448792,2023,521214,28209,Point,-80.84453738349988,35.168061250347876,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1752710400000,1752710400000,1753488000000,21,{C1B70A45-7285-437B-83D4-BCD6A18A2C84},23C,Shoplifting,20250726-0945-00,35.143544,8100 S TRYON ST,Indoors,-80.929226,96,4821,Other - Retail,Retail,NC,1423314,2025,512774,28273,Point,-80.92922599419197,35.143544308179074,
Location of occurrence,CHARLOTTE,1550448000000,Unfounded,Unfounded,Steele Creek,1550361600000,1550448000000,1550448000000,21,{CEA7F08C-CA7B-4C19-998C-D58FB92AE324},899,Other Unlisted Non-Criminal,20190218-1032-05,35.071165,14800 BRANNOCK HILLS DR,Outdoors,-80.996779,76,4822,Other - Residential,Residential,NC,1402594,2019,486837,28373,Point,-80.99677851641607,35.07116502569355,
Location of occurrence,CHARLOTTE,1484524800000,Victim Chose not to Prosecute,Exceptionally Cleared,Hickory Grove,1483833600000,,1483833600000,12,{546CCBEC-EE21-430A-8CAF-A1E0882642C9},13B,Simple Assault,20170108-1838-01,35.238293,12300 GREEN FAIRWAY DR,Indoors,-80.64161,228,4823,Private Residence,Residential,NC,1509850,2017,545706,28215,Point,-80.64161041926947,35.23829273143825,
Location of occurrence,CHARLOTTE,1764028800000,Cleared by Arrest,Cleared by Arrest,North,1763856000000,1763856000000,1763856000000,11,{D1FDB316-4464-4522-85F9-FAA618DF3BDA},13B,Simple Assault,20251123-2153-01,35.309217,5800 GREENE ST,Other,-80.807484,282,4824,Street/Highway,Open Area,NC,1460799,2025,572375,28269,Point,-80.80748353842057,35.309217488466686,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1705795200000,,1705795200000,14,{0419CDE2-756D-4E89-B331-EE05D15BFC29},23C,Shoplifting,20240121-0955-00,35.321385,10000 N TRYON ST,Indoors,-80.734062,60,4825,Gas Station,Retail,NC,1482777,2024,576412,28262,Point,-80.73406161678687,35.32138502343371,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1525305600000,1525305600000,1525392000000,02,{631B6BF8-5965-43F0-978E-590BCDE94EE2},23H,All Other Thefts,20180504-1043-00,35.266782,3200 SUTTON DR,Outdoors,-80.865378,70,4826,Private Residence,Residential,NC,1443240,2018,557253,28216,Point,-80.86537790312946,35.26678230487351,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1592006400000,,1592006400000,26,{17A6FAD3-0051-483E-B33C-872D3517732B},90Z,All Other Offenses,20200613-2335-03,35.182094,4400 SOUTH BV,Outdoors,-80.875778,13,4827,Street/Highway,Open Area,NC,1439554,2020,526495,28209,Point,-80.87577759789549,35.18209364575548,
Location where officer took report,CHARLOTTE,,Open,Open,North Tryon,1699574400000,1699574400000,1699574400000,07,{16C14B7E-6FAC-4CD0-A70C-AEA90FF95408},23H,All Other Thefts,20231110-1005-01,35.261296,5400 N TRYON ST,Outdoors,-80.774633,371,4828,Grocery Store/Supermarket,Retail,NC,1470286,2023,554760,28215,Point,-80.77463303545197,35.26129592649219,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1513814400000,1513814400000,1513814400000,21,{EC7B9E05-B24C-4A22-90D4-9CE882C2BD32},290,Damage/Vandalism Of Property,20171221-2309-00,35.169276,7000 SKYE BRIDGE WY,Outdoors,-80.974168,45,4829,Apartment/Duplex Private Res,Residential,NC,1410068,2017,522401,,Point,-80.97416755798064,35.169275765601704,
Location of occurrence,CHARLOTTE,1626220800000,Cleared by Arrest,Cleared by Arrest,Eastway,1626134400000,1626134400000,1626134400000,06,{2F015813-FAB4-4489-A2ED-B05B08F5B97E},13B,Simple Assault,20210713-2104-02,35.213003,2700 COMMONWEALTH AV,Indoors,-80.801073,2,4830,Apartment/Duplex Private Res,Residential,NC,1462076,2021,537329,28205,Point,-80.8010725687139,35.21300290055616,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1760745600000,1760745600000,1760745600000,06,{656D589B-0DB9-4412-B51F-2A1767DE2566},290,Damage/Vandalism Of Property,20251018-0112-02,35.239315,3100 THE PLAZA,Outdoors,-80.798369,10,4831,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1463057,2025,546889,,Point,-80.79836851514743,35.23931516773407,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1506988800000,1506988800000,1506988800000,26,{1A4CBFC9-393A-48B0-989A-2F998125D09F},23F,Theft From Motor Vehicle,20171003-1845-01,35.186966,4200 YANCEY RD,Parking Lot,-80.88146,290,4832,Bar/Tavern/Nightclub,Commercial Place,NC,1437890,2017,528300,28217,Point,-80.88146005487528,35.186965812628095,
Location of occurrence,CHARLOTTE,1754179200000,"Cleared, Pending Arrest Validation",Open,Metro,1754092800000,1754092800000,1754092800000,02,{4590A7A9-CBBA-4D83-98F3-FEABD24B5325},23F,Theft From Motor Vehicle,20250802-0057-03,35.224103,2800 WILKINSON BV,Parking Lot,-80.886136,124,4833,Other - Open Area,Open Area,NC,1436750,2025,541840,28208,Point,-80.88613585859176,35.22410323808133,
Location of occurrence,CHARLOTTE,1561420800000,Cleared by Arrest,Cleared by Arrest,South,1556409600000,1556409600000,1556409600000,22,{298AFDBA-A7CF-4EDE-83DF-7883CFD6370B},13B,Simple Assault,20190428-0254-01,35.031508,12600 DISTRICT SOUTH DR,Indoors,-80.856805,75,4834,Apartment/Duplex Private Res,Residential,NC,1444197,2019,471594,28277,Point,-80.85680484793578,35.03150786632747,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1580342400000,1580342400000,1580342400000,02,{04E1B3AD-C793-4458-ADC0-F13FD90D0B4B},90Z,All Other Offenses,20200130-0057-01,35.235925,2700 FREEDOM DR,Outdoors,-80.880565,124,4835,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1438495,2020,546110,,Point,-80.88056467956213,35.23592462692152,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1750723200000,,1750809600000,26,{42483F94-980D-4E3A-B8A8-A2C27EBE2DDF},26A,False Pretenses/Swindle,20250625-1103-00,35.186966,4300 YANCEY RD,Indoors,-80.88146,290,4836,Apartment/Duplex Private Res,Residential,NC,1437890,2025,528300,28217,Point,-80.88146005487528,35.186965812628095,
Location of occurrence,CHARLOTTE,1691971200000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1690329600000,,1690329600000,12,{A96270B0-FFD9-4EAA-B364-5369CF02FA0E},13B,Simple Assault,20230726-1704-01,35.252636,8500 CAMBRIDGE COMMONS DR,Outdoors,-80.663856,360,4837,Other - Public/Non-Residential,Public/Non-Residential,NC,1503296,2023,551036,,Point,-80.66385616819775,35.25263593348394,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1566345600000,,1566345600000,02,{A564DE7D-F281-45DB-9BD4-C6431C8360AC},23D,Theft From Building,20190821-1902-00,35.235167,1000 N TRYON ST,Indoors,-80.83212,157,4838,Other - Commercial Place,Commercial Place,NC,1452953,2019,545564,28206,Point,-80.83212005894273,35.23516748857125,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1580860800000,,1580860800000,26,{57AD4AE1-3035-48B6-A92C-2385B4F255F1},23C,Shoplifting,20200205-1257-00,35.176483,4700 SOUTH BV,Indoors,-80.875879,393,4839,Department Store,Retail,NC,1439485,2020,524454,,Point,-80.87587941118059,35.17648303126697,
Location of occurrence,CHARLOTTE,1538524800000,Unfounded,Unfounded,Hickory Grove,1537228800000,1537228800000,1537228800000,12,{4F39B660-44C0-40FA-9754-B7272D1E29F3},240,Motor Vehicle Theft,20180918-1602-02,35.197433,7800 RIDING TRAIL RD,Parking Lot,-80.731383,316,4840,School - Primary or Secondary,Public/Non-Residential,NC,1482789,2018,531293,28212,Point,-80.7313833823344,35.19743308253424,
Location of occurrence,CHARLOTTE,,Open,Open,North,1764374400000,1764374400000,1764374400000,11,{4B36C91F-71F2-4F48-A327-0F2BE830318F},23F,Theft From Motor Vehicle,20251129-1340-01,35.339105,8600 HANKINS RD,Indoors,-80.832734,38,4841,Fitness Center,Commercial Place,NC,1453468,2025,583389,28216,Point,-80.83273417222021,35.339105424314425,
Location of occurrence,CHARLOTTE,,Open,Open,South,1734566400000,1734652800000,1734652800000,22,{37232A4D-D214-4860-814B-7A00E0FA6C3F},240,Motor Vehicle Theft,20241220-0853-01,35.051625,4300 RED BLOSSOM WY,Parking Lot,-80.810666,20,4842,Apartment/Duplex Private Res,Residential,NC,1458140,2024,478659,28277,Point,-80.81066553800207,35.051624963107834,
